name,provider,type,amount,eligibility,deadline,apply_url,apply_email,apply_method,insider_tips,prerequisites,relevance_score,relevance_reason,tags,source_url,source_platform
National Startup Awards 5.0,DPIIT / Startup India,competition,₹10L cash prize + national recognition + media coverage + handholding support,"DPIIT-recognized startups; 20+ categories including Food & Beverages; must demonstrate social impact + employment generation",Applications open now — deadline not specified on page,https://www.startupindia.gov.in/content/sih/en/nsa2025.html,,Apply at startupindia.gov.in → DPIIT recognition required to login → select category (Food & Beverages) → submit application with impact metrics and financials,"1. Apply in 'Food & Beverages' category — limited competition in early-stage packaged food vs. tech startups. 2. NSA looks at employment generation — even your 2-person founding team + any workers counts. Mention BITS campus community impact. 3. DPIIT recognition required before you can even log in — so get that first. 4. Past winners used NSA as a launchpad for media coverage — very valuable for D2C brand at campus stage.",DPIIT Recognition required,8,₹10L cash prize with strong brand recognition angle. Food & Beverages category is less competitive than tech. Hyderabad registration + campus community impact story will stand out.,"competition, dpiit, ₹10L, prize, food",https://www.startupindia.gov.in/content/sih/en/ams-application.html,official
Zepto Nova Pitch in 10 Programme,Zepto (via Startup India),accelerator,Accelerator program + potential pilot with Zepto's quick commerce platform,"Early-stage startups with consumer product ready for q-commerce; food & FMCG preferred",Apply by 22 May 2026,https://www.startupindia.gov.in/content/sih/en/ams-application/accelerator-program.html?applicationId=69e7266fe4b07b726dda1497,,Apply via Startup India portal → DPIIT recognition to login → apply to Zepto Nova program → pitch selection → cohort,"1. THIS IS EXACTLY YOUR TARGET CUSTOMER — Zepto is one of your Phase 1 GTM channels (Blinkit/Zepto/Instamart). Getting into Nova is both funding AND distribution. 2. Emphasize 'shelf-stable, zero-prep, high protein' — Zepto Nova wants products that move fast on quick commerce. 3. Deadline is May 22, 2026 — apply IMMEDIATELY after getting DPIIT recognition. 4. Even if not selected, the application process forces you to create your q-commerce pitch deck.",DPIIT Recognition; product should be ready for q-commerce listing,9,Zepto is literally your Phase 1 distribution channel. This program = accelerator + q-commerce listing opportunity in one. Apply before May 22.,"accelerator, zepto, quick_commerce, fmcg, food, urgent",https://www.startupindia.gov.in/content/sih/en/ams-application.html,official
BIRAC Biotechnology Ignition Grant (BIG),Biotechnology Industry Research Assistance Council (BIRAC),grant,₹50L grant (non-dilutive),"Individual innovators or startups working on biotech, food tech, nutraceuticals, novel food processing; proof of concept stage",Rolling — 2 calls per year (check birac.nic.in),https://birac.nic.in/scheme_detail.php?id=14,big@birac.nic.in,Visit birac.nic.in/scheme_detail.php?id=14 → download guidelines → prepare proposal (10-15 pages) → submit during open call → expert review → funding in milestone tranches,"1. Sous vide is a legitimate food technology innovation — frame it as 'novel thermal processing for shelf-stable protein foods' to qualify as biotech/food tech. 2. BIG is ₹50L non-dilutive — largest non-equity grant available. Highly competitive but food tech has good success rate. 3. BIRAC calls open ~twice a year; subscribe to birac.nic.in for notifications. 4. Get a letter of support from BITS Pilani faculty (food tech or bio dept) — academic backing significantly helps.",DPIIT or research institutional backing helps; detailed technical proposal,8,₹50L non-dilutive grant. Sous vide food processing qualifies as food technology innovation. Academic backing from BITS faculty would strengthen application significantly.,"grant, birac, food_tech, ₹50L, non_dilutive",https://birac.nic.in/scheme.php,official
Villgro Innovation Foundation,Villgro,incubation,"₹20L–₹50L grant + equity investment + 18-month incubation program; sector-specific","Social impact startups; health, agriculture, food, education; early stage; Indian founders",Rolling — applications open at villgro.org/programs,https://villgro.org/programs/,info@villgro.org,Go to villgro.org → apply to relevant program (health/food) → initial screening → pitch round → selected startups get grant + equity + incubation,"1. Villgro has a specific 'Samridhdhi' program for rural/agri-food startups — sous vide chicken from Rajasthan rural area (Pilani) fits well. 2. They love impact metrics — frame UC around 'reducing post-harvest protein loss' and 'providing affordable high-protein food to fitness communities'. 3. Villgro co-invests with investors — being in Villgro portfolio opens doors to impact investors. 4. Chennai-based but programs are pan-India.",None formal — social impact angle required,7,Incubation + grant for food/health impact startups. Your rural manufacturing in Pilani + health angle (protein nutrition) fits Villgro's thesis well.,"incubation, grant, social_impact, food, health",https://villgro.org/programs/,official
NSTEDB Technology Business Incubators (TBI Support),DST — National Science & Technology Entrepreneurship Development Board,scheme,"Grants to incubators; as startup get access to TBI facilities, mentorship, soft loans","Startups operating within NSTEDB-supported TBIs; technology-based businesses; incubation at recognized institution",Rolling — through NSTEDB-supported TBIs nationwide,https://nstedb.com/,,Apply to a NSTEDB-supported TBI (like BITS TBI if registered) → get accepted → benefits flow through the TBI,"1. BITS Pilani's TBI is likely NSTEDB-supported — contact BITS TBI directly (tbi@pilani.bits-pilani.ac.in) to confirm and apply for incubation. 2. Being a BITS student gives you priority access to BITS TBI — use this connection before graduation. 3. TBI incubation provides lab access, prototyping facilities, and mentor connections that are hard to get otherwise at your stage.",Must be accepted by a TBI; technology-based business,7,BITS Pilani has a TBI — as current BITS students you have direct access. This is your easiest incubation pathway and provides facilities for product development.,"incubation, bits_pilani, dst, technology, student",https://nstedb.com/,official
BITS Pilani Technology Business Incubator (TBI),BITS Pilani,incubation,"₹5L–₹25L seed support + lab facilities + IP support + mentorship + co-working","Current or recent BITS Pilani students/faculty; technology-based startup; innovative product",Rolling,https://www.bits-pilani.ac.in/pilani/central-facilities-at-pilani/technology-business-incubator/,tbi@pilani.bits-pilani.ac.in,Email tbi@pilani.bits-pilani.ac.in → submit application form → campus review → pitch to TBI committee → incubation begins,"1. As current 2nd year students you are PRIME candidates — BITS TBI gives explicit preference to current students and student-founded startups. 2. Your food manufacturing on-campus connection is unique — leverage BITS infrastructure (cold storage, kitchen) for product demos during the application. 3. PIEDS is your internal ally — get a PIEDS recommendation letter before applying to TBI. It carries weight. 4. TBI can provide you a DPIIT-recognized incubator status for SISFS applications.",Current BITS enrollment is a massive advantage — no other hard prerequisites,9,You're current BITS students — this is your home turf. Priority access, campus facilities, and PIEDS connection give you the highest acceptance probability of any incubator.,"incubation, bits_pilani, student, equity_free, facilities",https://www.bits-pilani.ac.in/pilani/central-facilities-at-pilani/technology-business-incubator/,official
100X.VC,100X.VC,equity,₹75L–₹1Cr for 1-2% equity (first cheque VC),"Indian startups; any sector; pre-seed to seed; founders with domain expertise; B2B or B2C",Rolling — apply at 100x.vc/apply,https://100x.vc/apply/,,Go to 100x.vc/apply → fill form → team + idea + market size → shortlist → video call with 100X team → term sheet if selected,"1. 100X.VC is India's highest-volume first-cheque VC — they've written 300+ first cheques. Apply early, apply fast, they respond within 2-4 weeks. 2. They explicitly like student founders and campus businesses — BITS campus traction is a strong signal. 3. Your application should lead with market size (₹4.6B protein market growing to ₹14.3B) and why you're the only zero-prep real protein product. 4. 100X uses iSAFE note (Indian SAFE equivalent) — no immediate dilution pressure.",None; DPIIT recognition helpful but not required,7,India's most active first-cheque VC. Student founders + food + clear market gap is exactly their sweet spot. Quick process and standardized term sheet.,"equity, seed, vc, first_cheque",https://100x.vc/apply/,official
Antler India,Antler,equity,"Pre-seed investment: ₹50L–₹1Cr for ~10% equity + 10-week residency program","Early-stage founders; can apply solo or as team; any sector; India-based",Rolling cohorts — check antler.co/location/india,https://www.antler.co/location/india,,Apply at antler.co/location/india → online application → virtual/in-person interviews → cohort selection → 10-week residency → investment decision,"1. Antler does co-founder matching — if you need a 3rd technical co-founder, Antler cohort is a great place to find one. 2. They invest before product-market fit — very early stage is fine. 3. Antler India is based in Bangalore but runs national programs. Apply as a team (you + Mithielesh) — strong teams get higher conversion. 4. Antler's portfolio support (hiring, PR, fundraising) continues post-investment.",None — pre-everything stage accepted,6,Good option if you want hands-on partner support at very early stage. Less relevant than T-Hub or BITS TBI right now but worth applying as you build traction.,"equity, pre_seed, accelerator, co_founder",https://www.antler.co/location/india,official
Peak XV (Sequoia) Surge,Peak XV Partners,equity,"$1M–$2M for ~15-20% equity + 6-month intensive program","Seed to Series A stage; must have some traction/MVP; India/Southeast Asia focused",Cohorts open periodically — 2x per year,https://www.surgeahead.com/,,Apply at surgeahead.com → team + traction + market → shortlist → pitch sessions → cohort offer,"1. Surge is for startups with initial traction — apply after 6 months of campus sales and you have data to show. 2. Their portfolio is heavily B2C consumer internet but they have done food/D2C. 3. The program is intensive and residential — plan for founders to be in Bangalore for 6 months. 4. Peak XV network is exceptional for Series A raises post-Surge.",Some traction required (revenue or users); MVP ready,5,Top-tier but requires traction you'll have after Phase 0. File away for 12-18 months from now when you have sales data and are raising Series A.,"equity, series_a, sequoia, surge",https://www.surgeahead.com/,official
Google for Startups India,Google,cloud_credits,"Up to $200K Google Cloud credits + free Workspace + mentorship + Google network","Any startup; Google Cloud must be or planned to be used; early stage preferred",Rolling — apply at startup.google.com,https://startup.google.com/intl/en_in/,,Go to startup.google.com → apply → describe your startup + cloud usage → if accepted get credits and program access,"1. Apply immediately — no downside, cloud credits are pure value. 2. For UC specifically: Google Cloud credits can power your website analytics, inventory management, and future personalization engine. 3. Getting into Google for Startups gives you access to Google India team and potential co-marketing opportunities. 4. Use 'Food Tech' as your category.",None — free to apply,7,Free cloud credits + Google India network + mentorship. Immediate value with zero downside. Apply today alongside DPIIT recognition.,"cloud_credits, google, free, mentorship",https://startup.google.com/intl/en_in/,official
AWS Activate for Startups,Amazon Web Services,cloud_credits,"Up to $100K AWS credits + technical support + training","Any startup; preference for startups using or planning to use AWS",Rolling,https://aws.amazon.com/startups/start-building/,,Go to aws.amazon.com/startups → Apply for Activate → choose tier based on investor/incubator backing → get credits,"1. Apply for 'Activate Founders' (free, $1K credits immediately) first, then escalate to 'Activate Portfolio' ($5K-$100K) once you join T-Hub or BITS TBI which are likely AWS partners. 2. AWS credits can run your entire backend infrastructure for 2+ years — significant cost saving. 3. If you get into any recognized incubator, the incubator often has an AWS partnership that bumps you to Portfolio tier.",None for basic tier; incubator/investor backing for Portfolio tier,7,Free infrastructure credits covering hosting/database/email for 2+ years. Apply for Founders tier now; escalate to Portfolio after joining T-Hub or BITS TBI.,"cloud_credits, aws, free, infrastructure",https://aws.amazon.com/startups/start-building/,official
Microsoft for Startups Founders Hub,Microsoft,cloud_credits,"Up to $150K Azure credits + GitHub Enterprise + Microsoft 365 + OpenAI API credits ($2.5K)","Any startup; at any stage; just need a business email and website",Rolling — instant approval,https://www.microsoft.com/en-us/startups,,Go to microsoft.com/en-us/startups → sign up with company email → verify startup → credits issued within 24 hours,"1. This is the easiest to get — near-instant approval. Apply in the next 10 minutes. 2. $2.5K OpenAI API credits are immediately useful if you're building any AI features for your website/recommendation engine. 3. GitHub Enterprise included — useful for your tech stack (Next.js website). 4. Higher tiers available as you raise funding.",Company email + website (you have ultimatechicken.in + website),8,Near-instant approval. ₹12L+ in cloud/software credits with zero effort. Your Next.js website + email infrastructure runs on this for 2 years free.,"cloud_credits, microsoft, azure, free, openai",https://www.microsoft.com/en-us/startups,official
WE Hub Telangana,Government of Telangana,incubation,"Free incubation + grants + investor connects; seed funding up to ₹10L for women-led startups","Women-led startups registered in Telangana; at least one woman co-founder",Rolling applications,https://www.wehub.telangana.gov.in/,info@wehub.telangana.gov.in,Apply at wehub.telangana.gov.in → startup registration → program selection → mentorship and funding access,"1. UC currently has no woman co-founder — but WE Hub also has programs open to all Telangana startups (not just women-led). Check their general startup support programs. 2. If you plan to add a woman co-founder or advisor, WE Hub unlocks significant Telangana government benefits. 3. WE Hub's network overlaps heavily with T-Hub — being in one often helps access the other.",Telangana registration; woman co-founder for women-specific programs,5,Telangana registration qualifies UC for WE Hub's general programs. Women-specific programs inaccessible without women co-founder but general programs worth exploring.,"incubation, telangana, hyderabad, women, grants",https://www.wehub.telangana.gov.in/,official
MSME National Award for Outstanding Entrepreneurship,Ministry of MSME,competition,"Trophy + certificate + cash prize (₹1L–₹5L depending on category) + national recognition","Udyam-registered MSME; manufacturing or service; various categories including SC/ST, women, small enterprises",Annual — typically announced Q4 (Jan-Mar),https://msme.gov.in/schemes/national-award-outstanding-entrepreneurship,,Apply through district MSME office → submit documentation → district/state level screening → national finals,"1. Low competition in 'small food manufacturing' category — most entries are traditional businesses, not innovative startups. 2. Awards build credibility for B2B pitches and investor decks — add it as 'award finalist' even if you don't win. 3. Timing: typically announced in January — keep eye out for circular.",Udyam Registration; 1 year of operations preferred,6,Small cash prize but builds MSME credibility. Low competition in food manufacturing category. Good for investor deck and press coverage.,"competition, msme, award, recognition",https://msme.gov.in/schemes/national-award-outstanding-entrepreneurship,official
MSME International Trade Fair Participation Scheme (MDA),Ministry of MSME,scheme,"50-75% reimbursement of travel + accommodation + stall charges for international trade fairs","Udyam-registered MSME; manufacturer or exporter; first-time or regular international fair participant",Apply per event — check msme.gov.in/schemes,https://msme.gov.in/sites/default/files/MDAGuidelines.pdf,,Download MDA guidelines → identify relevant international food fair → apply through MSME district office before fair → attend → submit reimbursement claim with receipts,"1. Relevant once you're ready for export market or want to showcase at international food expos (Gulfood, Anuga, etc.). 2. Apply 3-6 months before the fair — processing time is long. 3. FSSAI and Udyam registration required before applying.",Udyam Registration; confirmed participation in international trade fair,4,Not immediately relevant at Phase 0 but valuable when entering export markets (UAE, GCC). File this away for 18-24 months from now.,"scheme, msme, export, trade_fair",https://msme.gov.in/schemes/enable-participation-msmes-international-trade-fairs-and-provide-funding-support,official
Atal Innovation Mission (AIM) — Various Programs,NITI Aayog,grant,"₹10L–₹50L grants; Atal New India Challenge (ANIC) up to ₹1Cr","Technology innovators; startups and individuals; sector-specific challenges open throughout year","Rolling per challenge — check aim.gov.in for open challenges",https://aim.gov.in/programs.php,,Go to aim.gov.in → check active challenges → submit proposal for relevant challenge → evaluation → funding,"1. ANIC (Atal New India Challenge) offers up to ₹1Cr for specific problem statements — watch for food/nutrition/packaging challenges that match UC. 2. AIM is NITI Aayog-backed and well-funded — very credible grant for investor conversations. 3. Subscribe to aim.gov.in newsletter for new challenge notifications — they often open food/agriculture specific tracks.",DPIIT recognition helps; technical proposal required,6,Watch for food/nutrition-specific AIM challenges. ₹1Cr available for the right problem statement. Not always open but subscribe for alerts.,"grant, niti_aayog, innovation, ₹1Cr",https://aim.gov.in/programs.php,official
NIF India — National Innovation Foundation,National Innovation Foundation (DST),grant,"₹10L–₹25L + IP filing support + market linkage","Grassroots innovators + startups with novel food/agricultural technology; any stage","Rolling — check nif.org.in",https://nif.org.in/,,Email or apply at nif.org.in → submit innovation description → NIF evaluation → IP filing support + grant if selected,"1. NIF is specifically for grassroots innovators — sous vide chicken production using novel preservation is a genuine food technology innovation. 2. They actively help with IP (patents) — if you have a novel processing method, NIF can fund your patent filing. 3. Less known = less competition — many startups overlook NIF.",Novel innovation or invention; not just a business,6,If your sous vide process has any technical novelty (time/temperature profile, seasoning method), NIF can fund IP protection and give you ₹10-25L.,"grant, innovation, ip, dst",https://nif.org.in/,official
NSRCEL — IIM Bangalore Incubation,NSRCEL (N.S. Raghavan Centre for Entrepreneurial Learning) — IIM Bangalore,incubation,"₹25L–₹75L grant + IIM Bangalore network + mentors + investor connects","Any sector including food/FMCG; early to growth stage; Indian startups",Rolling per cohort — nsrcel.iimb.ac.in,https://nsrcel.iimb.ac.in/programs/,nsrcel@iimb.ac.in,Apply at nsrcel.iimb.ac.in → fill application → screening call → pitch to committee → cohort selection,"1. NSRCEL has a specific 'women entrepreneurship' and 'social' track — if UC has any women co-founders or social angle, mention it. 2. NSRCEL's investor network is Bangalore/national — useful for Series A. 3. IIM Bangalore brand on your cap table narrative is worth a lot in fundraising decks.",None formal; innovative business model preferred,7,IIM Bangalore brand + ₹25-75L grant. Strong for D2C food brands. National network useful for Phase 1 expansion. Apply once campus traction data is available.,"incubation, grant, iim, bangalore, fmcg",https://nsrcel.iimb.ac.in/programs/,official
CIIE.CO — IIM Ahmedabad,Centre for Innovation Incubation and Entrepreneurship — IIM Ahmedabad,incubation,"Grant + equity investment; ₹25L–₹1Cr; sector-specific programs","Food, health, fintech, climate startups; early stage; strong founding team",Cohorts per year — ciie.co/programs,https://ciie.co/programs/,ciie@iima.ac.in,Apply at ciie.co → program selection (Bharat Inclusion for FMCG/food) → pitch → cohort,"1. CIIE has invested in food D2C brands previously — mention your IIM-adjacent network (BITS Pilani has strong alumni overlap with IIM). 2. Their 'Bharat Inclusion Initiative' focuses on accessible food and health products — protein for fitness communities in tier-2 cities (Pilani, future Hyderabad) fits. 3. IIM Ahmedabad brand is particularly useful for FMCG distribution negotiations.",Strong founding team; innovative product thesis,7,FMCG/food focus at IIM-A. Their portfolio includes food brands. Strong brand for investor conversations and retail/Q-Commerce entry negotiations.,"incubation, iim, fmcg, food, equity",https://ciie.co/programs/,official
Rajasthan Agri Business Policy 2019 — MSME Incentives,Government of Rajasthan — Industries Department,scheme,"Capital subsidy 15-25% on plant & machinery; electricity tariff subsidy; stamp duty exemption","Food processing/agri-business in Rajasthan; investment in plant & machinery; create employment",Rolling — apply through District Industries Centre (DIC),https://istart.rajasthan.gov.in/public/Policies/Rajasthan-Agri-Business-Policy-2019.pdf,,Contact DIC Jhunjhunun (district where Pilani is located) → apply for agri-business incentives → project approval → purchase machinery → claim subsidy,"1. Your manufacturing in Pilani (Jhunjhunun district) qualifies for Rajasthan agri-business incentives. 2. Capital subsidy on machinery is RETROACTIVE — if you've bought any equipment, document it and apply. 3. DIC Jhunjhunun contact: dicjhunjhunu@gmail.com — email them with your setup details.",Udyam Registration; manufacturing in Rajasthan; machinery purchase documentation,8,Capital subsidy on your manufacturing equipment in Pilani. Retroactive for past purchases. This is real cash back on your CAPEX.,"subsidy, rajasthan, manufacturing, capex, agri_business",https://istart.rajasthan.gov.in/public/Policies/Rajasthan-Agri-Business-Policy-2019.pdf,official
